1c0wA01.A	1.10.10.10
1j75A00.A	1.10.10.10
1lvaA01.A	1.10.10.10
1lvaA03.A	1.10.10.10
1okrA01.A	1.10.10.10
1qbjC00.C	1.10.10.10
1s3jA02.A	1.10.10.10
1sfuA00.A	1.10.10.10
1xmkA00.A	1.10.10.10
1z05A01.A	1.10.10.10
2dk5A01.A	1.10.10.10
2dk8A01.A	1.10.10.10
2g9wA01.A	1.10.10.10
2h09A01.A	1.10.10.10
2hr3A02.A	1.10.10.10
2htjA01.A	1.10.10.10
2ia2A01.A	1.10.10.10
2jt1A00.A	1.10.10.10
2l4mA00.A	1.10.10.10
2mh2A00.A	1.10.10.10
2nr3A02.A	1.10.10.10
2o0yA01.A	1.10.10.10
2pjpA01.A	1.10.10.10
2vxzA01.A	1.10.10.10
2wteA02.A	1.10.10.10
2xrnB01.B	1.10.10.10
3cuqB03.B	1.10.10.10
3g3zA02.A	1.10.10.10
3mwmA01.A	1.10.10.10
3r4kA01.A	1.10.10.10
3v8jA01.A	1.10.10.10
4ad9A02.A	1.10.10.10
4ijaA01.A	1.10.10.10
4jqfA02.A	1.10.10.10
4kmfA00.A	1.10.10.10
4o5vA01.A	1.10.10.10
4wcgA00.A	1.10.10.10
5tjjA01.A	1.10.10.10
3l6dA02.A	1.10.1040.10
3zgyA02.A	1.10.1040.10
4d3dB02.B	1.10.1040.10
1mj3A02.A	1.10.12.10
2ppyA02.A	1.10.12.10
2vx2G02.G	1.10.12.10
3kqfA02.A	1.10.12.10
3qxzA02.A	1.10.12.10
3swxA02.A	1.10.12.10
4jfcA02.A	1.10.12.10
4k3wA02.A	1.10.12.10
4mi2A02.A	1.10.12.10
4og1A02.A	1.10.12.10
4olqA02.A	1.10.12.10
5kjpA02.A	1.10.12.10
1vkuA00.A	1.10.1200.10
2cgqA00.A	1.10.1200.10
2cq8A01.A	1.10.1200.10
2l4bA00.A	1.10.1200.10
2lkiA00.A	1.10.1200.10
2lmlA00.A	1.10.1200.10
2xz0D00.D	1.10.1200.10
3ce7A00.A	1.10.1200.10
4h2uD00.D	1.10.1200.10
4h2wC00.C	1.10.1200.10
4pxhB00.B	1.10.1200.10
5czdB00.B	1.10.1200.10
5kp7B00.B	1.10.1200.10
1b01A00.A	1.10.1220.10
1bazC00.C	1.10.1220.10
3qoqA00.A	1.10.1220.10
1wcnA01.A	1.10.150.20
1y88A02.A	1.10.150.20
2i1qA01.A	1.10.150.20
2va8A04.A	1.10.150.20
2w9mA02.A	1.10.150.20
2zj8A04.A	1.10.150.20
1a7wA00.A	1.10.20.10
1eqzF00.F	1.10.20.10
1h3oB00.B	1.10.20.10
1id3B00.B	1.10.20.10
1jfiB00.B	1.10.20.10
1tafA00.A	1.10.20.10
2bykD00.D	1.10.20.10
4csrA00.A	1.10.20.10
3k21A02.A	1.10.238.10
1oohA00.A	1.10.238.20
2erbA01.A	1.10.238.20
3r1vA00.A	1.10.238.20
3r72A00.A	1.10.238.20
3s0aA00.A	1.10.238.20
3v2lA00.A	1.10.238.20
4pt1B00.B	1.10.238.20
1c3cA01.A	1.10.275.10
1re5A01.A	1.10.275.10
3c8tA01.A	1.10.275.10
4eeiA01.A	1.10.275.10
2pq7A00.A	1.10.3210.10
2g3bA00.A	1.10.357.10
2g7sA00.A	1.10.357.10
2gfnA00.A	1.10.357.10
2np5A00.A	1.10.357.10
2nx4C00.C	1.10.357.10
3bcgA00.A	1.10.357.10
3bruA00.A	1.10.357.10
3crjA00.A	1.10.357.10
3dpjA00.A	1.10.357.10
3eupB00.B	1.10.357.10
3frqB00.B	1.10.357.10
3g7rA00.A	1.10.357.10
3jsjA00.A	1.10.357.10
3knwA00.A	1.10.357.10
3nnrA00.A	1.10.357.10
3nxcA00.A	1.10.357.10
3on2A00.A	1.10.357.10
3on4A00.A	1.10.357.10
3qbmA00.A	1.10.357.10
3vibA00.A	1.10.357.10
4ichA00.A	1.10.357.10
1aoaA01.A	1.10.418.10
1pxyB03.B	1.10.418.10
1qagA01.A	1.10.418.10
1rt8A04.A	1.10.418.10
1wjoA01.A	1.10.418.10
2vzcB00.B	1.10.418.10
2wa5A01.A	1.10.418.10
2yrnA01.A	1.10.418.10
1a00B00.B	1.10.490.10
1a6gA00.A	1.10.490.10
1ashA00.A	1.10.490.10
1b0bA00.A	1.10.490.10
