000001278	10.12.1.295
000001281	10.12.1.295
000001292	10.12.1.295
000031673	10.12.1.295
000031678	10.12.1.295
000139809	10.12.1.295
000224404	10.12.1.295
000224531	10.12.1.295
000315942	10.12.1.295
000361534	10.12.1.295
000372241	10.12.1.295
000461551	10.12.1.295
000990461	10.12.1.295
001123977	10.12.1.295
001175672	10.12.1.295
001180069	10.12.1.295
001719255	10.12.1.295
000002521	101.1.1.354
000002524	101.1.1.354
000002529	101.1.1.354
000002532	101.1.1.354
000002536	101.1.1.354
000002541	101.1.1.354
000002543	101.1.1.354
000002544	101.1.1.354
000002546	101.1.1.354
000136492	101.1.1.354
000137661	101.1.1.354
000139800	101.1.1.354
000140289	101.1.1.354
000140751	101.1.1.354
000143568	101.1.1.354
000154572	101.1.1.354
000162645	101.1.1.354
000165419	101.1.1.354
000166314	101.1.1.354
000167767	101.1.1.354
000169148	101.1.1.354
000169449	101.1.1.354
000185079	101.1.1.354
000191660	101.1.1.354
000195601	101.1.1.354
000222869	101.1.1.354
000333188	101.1.1.354
000335793	101.1.1.354
000337838	101.1.1.354
000340105	101.1.1.354
000358606	101.1.1.354
000375349	101.1.1.354
000383546	101.1.1.354
000386667	101.1.1.354
000405878	101.1.1.354
000423423	101.1.1.354
001123531	101.1.1.354
001145640	101.1.1.354
001159838	101.1.1.354
001159998	101.1.1.354
001160022	101.1.1.354
001171126	101.1.1.354
001171130	101.1.1.354
001171150	101.1.1.354
001247927	101.1.1.354
001688911	101.1.1.354
001692421	101.1.1.354
001723969	101.1.1.354
000002579	101.1.2.811
000002581	101.1.2.811
000002593	101.1.2.811
000134738	101.1.2.811
000143150	101.1.2.811
000143631	101.1.2.811
000153169	101.1.2.811
000162593	101.1.2.811
000166251	101.1.2.811
000166472	101.1.2.811
000166543	101.1.2.811
000167954	101.1.2.811
000170211	101.1.2.811
000223029	101.1.2.811
000224680	101.1.2.811
000374782	101.1.2.811
000392755	101.1.2.811
000002997	102.1.1.28
000003004	102.1.1.28
000048000	102.1.1.28
000142121	102.1.1.28
000163716	102.1.1.28
000167445	102.1.1.28
000993558	102.1.1.28
001148122	102.1.1.28
001245806	102.1.1.28
001314051	102.1.1.28
000004519	109.3.1.8
000004520	109.3.1.8
000004526	109.3.1.8
000004528	109.3.1.8
000059607	109.3.1.8
000059629	109.3.1.8
000059635	109.3.1.8
000135880	109.3.1.8
000139598	109.3.1.8
000140081	109.3.1.8
000140728	109.3.1.8
000160169	109.3.1.8
000163669	109.3.1.8
000166903	109.3.1.8
000167044	109.3.1.8
000167928	109.3.1.8
000220760	109.3.1.8
000282396	109.3.1.8
000335819	109.3.1.8
000989070	109.3.1.8
001095946	109.3.1.8
001156166	109.3.1.8
001695444	109.3.1.8
001720120	109.3.1.8
001721627	109.3.1.8
000001711	11.1.1.1514
000001714	11.1.1.1514
000001715	11.1.1.1514
000001718	11.1.1.1514
000001721	11.1.1.1514
000001725	11.1.1.1514
000001726	11.1.1.1514
000001727	11.1.1.1514
000001730	11.1.1.1514
000001731	11.1.1.1514
000001733	11.1.1.1514
000001736	11.1.1.1514
000039031	11.1.1.1514
000135555	11.1.1.1514
000135746	11.1.1.1514
000137116	11.1.1.1514
000137470	11.1.1.1514
000138085	11.1.1.1514
000138091	11.1.1.1514
000138174	11.1.1.1514
000141190	11.1.1.1514
000141193	11.1.1.1514
000143376	11.1.1.1514
000143377	11.1.1.1514
000144037	11.1.1.1514
000145845	11.1.1.1514
000148026	11.1.1.1514
000157717	11.1.1.1514
000161440	11.1.1.1514
000162703	11.1.1.1514
000163393	11.1.1.1514
000164156	11.1.1.1514
000164157	11.1.1.1514
000164923	11.1.1.1514
000165213	11.1.1.1514
000165774	11.1.1.1514
000166763	11.1.1.1514
000166764	11.1.1.1514
000166766	11.1.1.1514
000166767	11.1.1.1514
000166768	11.1.1.1514
000168491	11.1.1.1514
000222184	11.1.1.1514
000310568	11.1.1.1514
000314781	11.1.1.1514
000328587	11.1.1.1514
000331634	11.1.1.1514
000379866	11.1.1.1514
000384432	11.1.1.1514
000394238	11.1.1.1514
000415674	11.1.1.1514
000418977	11.1.1.1514
001163671	11.1.1.1514
001218897	11.1.1.1514
001218898	11.1.1.1514
001220098	11.1.1.1514
001221815	11.1.1.1514
001221819	11.1.1.1514
001221841	11.1.1.1514
001255096	11.1.1.1514
001545211	11.1.1.1514
001557708	11.1.1.1514
001718805	11.1.1.1514
000154432	132.1.1.2
000157979	132.1.1.2
000328704	132.1.1.2
001120360	132.1.1.2
001294021	132.1.1.2
001721649	132.1.1.2
000008792	2002.1.1.18
000008793	2002.1.1.18
000008794	2002.1.1.18
000008795	2002.1.1.18
000008796	2002.1.1.18
000008797	2002.1.1.18
000008799	2002.1.1.18
000136448	2002.1.1.18
000137551	2002.1.1.18
000137555	2002.1.1.18
000138234	2002.1.1.18
000140513	2002.1.1.18
000141528	2002.1.1.18
000141624	2002.1.1.18
000142770	2002.1.1.18
000144846	2002.1.1.18
000144982	2002.1.1.18
000145255	2002.1.1.18
000161542	2002.1.1.18
000165405	2002.1.1.18
000166559	2002.1.1.18
000168846	2002.1.1.18
000169522	2002.1.1.18
001000461	2002.1.1.18
001005149	2002.1.1.18
001106636	2002.1.1.18
001144707	2002.1.1.18
001241117	2002.1.1.18
001312345	2002.1.1.18
000009064	2003.1.1.417
000009068	2003.1.1.417
000009072	2003.1.1.417
000009078	2003.1.1.417
000009081	2003.1.1.417
000009086	2003.1.1.417
000009090	2003.1.1.417
000009091	2003.1.1.417
000009092	2003.1.1.417
000009094	2003.1.1.417
000009095	2003.1.1.417
000009097	2003.1.1.417
000009103	2003.1.1.417
000009105	2003.1.1.417
000097174	2003.1.1.417
000097214	2003.1.1.417
000097365	2003.1.1.417
000097381	2003.1.1.417
000134055	2003.1.1.417
000134087	2003.1.1.417
000135817	2003.1.1.417
000135876	2003.1.1.417
000138334	2003.1.1.417
000138448	2003.1.1.417
000138862	2003.1.1.417
000139314	2003.1.1.417
000140113	2003.1.1.417
000140184	2003.1.1.417
000140645	2003.1.1.417
000141905	2003.1.1.417
000142111	2003.1.1.417
000142297	2003.1.1.417
000143927	2003.1.1.417
000144854	2003.1.1.417
000145257	2003.1.1.417
000145912	2003.1.1.417
000147273	2003.1.1.417
000147687	2003.1.1.417
000148690	2003.1.1.417
000149131	2003.1.1.417
000151124	2003.1.1.417
